image_id,source_path,split,n_candidates_raw,n_pupa_final,n_top_5pct,n_top,n_middle,n_bottom,top_y,bottom_y,upper_five_pct_y,upper_middle_y,lower_middle_y,mean_confidence,unresolved_clusters,blue_pixel_ratio,needs_review,review_reason,config_version,model_version,runtime_ms,detected_pupa_instances,synthetic_cluster_instances,vision_cluster_count_used,annotation_mode,trusted_confidence,trusted_line_upper_y,trusted_line_lower_y,trusted_dot_total,trusted_dot_top,trusted_dot_middle,trusted_dot_bottom,blue_line_component_count,blue_horizontal_candidate_count,blue_dot_component_count,raw_blue_dot_component_count,blue_component_count,blue_footer_component_count,dots_look_human_placed,trusted_line_span_px,image_height,image_width,trusted_upper_line_error_px,trusted_lower_line_error_px,trusted_middle_disagreement,trusted_total_disagreement
scan_20260313_55_bd48165bf6,/Users/stephenyu/Documents/New project/data/probe_inputs/all_20/Scan_20260313 (55).png,dev_annotated,115,82,5,17,48,17,318.14963503649636,1344.5076923076922,369.4675379000562,574.7391493542953,1087.9181779898931,0.7366724028718593,8,0.009819554978974184,False,,baseline_v1,,2263.657042000002,82,0,0,dot_count_only,medium,1261.9337772109689,,57,,,,0,1,57,57,99,5,True,,2586,1116,687.1946278566736,,,25
scan_20260313_60_4a0b45a293,/Users/stephenyu/Documents/New project/data/probe_inputs/all_20/Scan_20260313 (60).png,dev_annotated,169,108,7,26,75,7,127.09580838323353,1452.5443786982248,193.3682368989831,458.45795096198134,1121.182236119477,0.6634387645069064,14,0.023040732147460687,True,unresolved_clusters: Merged cluster candidates could not be split cleanly. | high_blue_overlap: Blue annotation ratio is unusually high. | blue_trust_disagreement: Predicted middle-band count differs substantially from trusted blue annotation supervision.,baseline_v1,,2264.388499999999,108,0,0,dot_count_with_lines,high,555.1410678971655,1387.8933585313175,61,2.0,55.0,4.0,1,3,61,61,103,10,True,832.752290634152,2586,1116,96.68311693518416,266.7111224118405,20.0,47
scan_20260313_65_1298255fc3,/Users/stephenyu/Documents/New project/data/probe_inputs/all_20/Scan_20260313 (65).png,dev_annotated,184,115,2,9,60,46,7.938775510204081,1149.0085959885387,64.99226653412082,293.20623062978774,863.741140868955,0.6497713769705423,8,0.011617560229191096,False,,baseline_v1,,2180.6804999999977,115,0,0,dot_count_only,medium,1029.0955518202957,,54,,,,1,1,54,54,103,7,True,,2586,1116,735.8893211905079,,,61
scan_20260313_7_78157780df,/Users/stephenyu/Documents/New project/data/probe_inputs/all_20/Scan_20260313 (7).png,dev_annotated,139,104,2,24,71,9,143.19354838709677,1563.7440476190477,214.22107334869432,498.3311731950845,1208.60642281106,0.7245986257222168,2,0.01605695958663551,True,blue_trust_disagreement: Predicted middle-band count differs substantially from trusted blue annotation supervision.,baseline_v1,,1902.6424580000025,104,0,0,dot_count_with_lines,high,482.53222348475737,1477.7884932685545,109,25.0,84.0,0.0,3,2,109,109,136,2,True,995.256269783797,2586,1116,15.798949710327122,269.18207045749455,13.0,5
scan_20260313_70_e00a2438c4,/Users/stephenyu/Documents/New project/data/probe_inputs/all_20/Scan_20260313 (70).png,dev_annotated,135,94,7,15,38,41,334.125,1175.3269961977187,376.18509980988597,544.4254990494296,965.0264971482891,0.7186206134419573,5,0.016207688490825982,True,blue_trust_disagreement: Predicted middle-band count differs substantially from trusted blue annotation supervision.,baseline_v1,,1786.3639580000026,94,0,0,dot_count_with_lines,high,449.58663943990666,1330.695089404414,78,2.0,76.0,0.0,2,2,78,78,96,1,True,881.1084499645073,2586,1116,94.83885960952296,365.66859225612484,38.0,16
scan_20260313_74_f670a25628,/Users/stephenyu/Documents/New project/data/probe_inputs/all_20/Scan_20260313 (74).png,dev_annotated,117,102,6,20,78,4,245.95530726256982,1640.6716417910447,315.6911239889936,594.6343908946885,1291.992558158926,0.70966026240975,0,0.015552797389860484,True,border_anchor: Top or bottom anchor touches the image border. | blue_trust_disagreement: Predicted middle-band count differs substantially from trusted blue annotation supervision.,baseline_v1,,1655.932,102,0,0,dot_count_with_lines,high,451.679592053543,1270.8334618697997,105,16.0,89.0,0.0,3,2,105,105,130,3,True,819.1538698162567,2586,1116,142.95479884114553,21.159096289126182,11.0,3
scan_20260313_8_456a88b709,/Users/stephenyu/Documents/New project/data/probe_inputs/all_20/Scan_20260313 (8).png,dev_annotated,163,124,2,4,98,22,54.6144578313253,1545.0391304347827,129.13569146149817,427.22062598218963,1172.4329622839184,0.7080133373459506,10,0.014090900270826923,True,blue_trust_disagreement: Predicted middle-band count differs substantially from trusted blue annotation supervision.,baseline_v1,,1776.2619999999956,124,0,0,dot_count_with_lines,high,640.7654867076221,1538.594345825115,127,14.0,112.0,1.0,2,2,127,127,163,7,True,897.8288591174928,2586,1116,213.5448607254325,366.1613835411965,14.0,3
scan_20260313_80_1fc7a87878,/Users/stephenyu/Documents/New project/data/probe_inputs/all_20/Scan_20260313 (80).png,dev_annotated,169,120,4,21,82,17,11.503937007874017,1756.853448275862,98.77141257127342,447.841314824871,1320.516070458865,0.6893467495490478,9,0.01521634275544911,True,blue_trust_disagreement: Predicted middle-band count differs substantially from trusted blue annotation supervision.,baseline_v1,,2269.336833000004,120,0,0,dot_count_with_lines,high,526.8885616102111,1633.7256450076882,72,4.0,67.0,1.0,4,4,72,72,109,8,True,1106.837083397477,2586,1116,79.04724678534012,313.2095745488232,15.0,48
scan_20260313_90_0181747d83,/Users/stephenyu/Documents/New project/data/probe_inputs/all_20/Scan_20260313 (90).png,dev_annotated,120,93,4,15,63,15,305.46280991735534,1179.050505050505,349.14219467401284,523.8597337006428,960.6535812672176,0.6731083456412107,2,0.01740867520522718,True,blue_trust_disagreement: Predicted middle-band count differs substantially from trusted blue annotation supervision.,baseline_v1,,1681.779750000004,93,0,0,line_only,medium,434.27367534978265,1305.9715933362945,11,7.0,3.0,1.0,3,3,11,11,34,1,True,871.6979179865118,2586,1115,89.58605835086013,345.3180120690769,60.0,82
scan_20260313_95_e122ab1950,/Users/stephenyu/Documents/New project/data/probe_inputs/all_20/Scan_20260313 (95).png,dev_annotated,152,116,7,30,66,20,275.79375,1627.0246913580247,343.35529706790123,613.6014853395061,1289.2169560185184,0.694739337697225,7,0.014645651938893462,True,blue_trust_disagreement: Predicted middle-band count differs substantially from trusted blue annotation supervision.,baseline_v1,,1676.7181660000006,116,0,0,dot_count_with_lines,high,544.8823599989805,1675.457238015939,107,21.0,82.0,4.0,3,2,107,107,173,8,True,1130.5748780169586,2586,1116,68.71912534052558,386.24028199742065,16.0,9
